epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,0.962890625,8,256,1000,256,0.0002
2,0.98583984375,8,256,1000,256,0.0002
3,0.93359375,8,256,1000,256,0.0002
4,0.90087890625,8,256,1000,256,0.0002
5,0.8076171875,8,256,1000,256,0.0002
6,0.84423828125,8,256,1000,256,0.0002
7,0.8037109375,8,256,1000,256,0.0002
8,0.7490234375,8,256,1000,256,0.0002
9,0.74609375,8,256,1000,256,0.0002
10,0.76904296875,8,256,1000,256,0.0002
11,0.7451171875,8,256,1000,256,0.0002
12,0.65185546875,8,256,1000,256,0.0002
13,0.63671875,8,256,1000,256,0.0002
14,0.6015625,8,256,1000,256,0.0002
15,0.6318359375,8,256,1000,256,0.0002
16,0.66357421875,8,256,1000,256,0.0002
17,0.65234375,8,256,1000,256,0.0002
18,0.59423828125,8,256,1000,256,0.0002
19,0.626953125,8,256,1000,256,0.0002
20,0.63818359375,8,256,1000,256,0.0002
21,0.53857421875,8,256,1000,256,0.0002
22,0.60546875,8,256,1000,256,0.0002
23,0.591796875,8,256,1000,256,0.0002
24,0.5419921875,8,256,1000,256,0.0002
25,0.6015625,8,256,1000,256,0.0002
26,0.6083984375,8,256,1000,256,0.0002
27,0.591796875,8,256,1000,256,0.0002
28,0.515625,8,256,1000,256,0.0002
29,0.60205078125,8,256,1000,256,0.0002
30,0.6123046875,8,256,1000,256,0.0002
31,0.58984375,8,256,1000,256,0.0002
32,0.55908203125,8,256,1000,256,0.0002
33,0.576171875,8,256,1000,256,0.0002
34,0.485595703125,8,256,1000,256,0.0002
35,0.5166015625,8,256,1000,256,0.0002
36,0.537109375,8,256,1000,256,0.0002
37,0.56396484375,8,256,1000,256,0.0002
38,0.53515625,8,256,1000,256,0.0002
39,0.54736328125,8,256,1000,256,0.0002
40,0.52001953125,8,256,1000,256,0.0002
41,0.509765625,8,256,1000,256,0.0002
42,0.5341796875,8,256,1000,256,0.0002
43,0.509765625,8,256,1000,256,0.0002
44,0.55810546875,8,256,1000,256,0.0002
45,0.3564453125,8,256,1000,256,0.0002
46,0.5048828125,8,256,1000,256,0.0002
47,0.5048828125,8,256,1000,256,0.0002
48,0.481689453125,8,256,1000,256,0.0002
49,0.428466796875,8,256,1000,256,0.0002
