epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,1.1572265625,8,256,1000,256,0.0002
2,1.146484375,8,256,1000,256,0.0002
3,1.076171875,8,256,1000,256,0.0002
4,1.02734375,8,256,1000,256,0.0002
5,0.9423828125,8,256,1000,256,0.0002
6,0.93310546875,8,256,1000,256,0.0002
7,0.908203125,8,256,1000,256,0.0002
8,0.83447265625,8,256,1000,256,0.0002
9,0.865234375,8,256,1000,256,0.0002
10,0.88818359375,8,256,1000,256,0.0002
11,0.83935546875,8,256,1000,256,0.0002
12,0.70654296875,8,256,1000,256,0.0002
13,0.73583984375,8,256,1000,256,0.0002
14,0.7451171875,8,256,1000,256,0.0002
15,0.74462890625,8,256,1000,256,0.0002
16,0.7275390625,8,256,1000,256,0.0002
17,0.7158203125,8,256,1000,256,0.0002
18,0.7158203125,8,256,1000,256,0.0002
19,0.6865234375,8,256,1000,256,0.0002
20,0.69287109375,8,256,1000,256,0.0002
21,0.57568359375,8,256,1000,256,0.0002
22,0.634765625,8,256,1000,256,0.0002
23,0.65380859375,8,256,1000,256,0.0002
24,0.658203125,8,256,1000,256,0.0002
25,0.6201171875,8,256,1000,256,0.0002
26,0.68701171875,8,256,1000,256,0.0002
27,0.67333984375,8,256,1000,256,0.0002
28,0.58544921875,8,256,1000,256,0.0002
29,0.62255859375,8,256,1000,256,0.0002
30,0.6123046875,8,256,1000,256,0.0002
31,0.625,8,256,1000,256,0.0002
32,0.5810546875,8,256,1000,256,0.0002
33,0.59375,8,256,1000,256,0.0002
34,0.57080078125,8,256,1000,256,0.0002
35,0.5634765625,8,256,1000,256,0.0002
36,0.52880859375,8,256,1000,256,0.0002
37,0.57373046875,8,256,1000,256,0.0002
38,0.56494140625,8,256,1000,256,0.0002
39,0.58837890625,8,256,1000,256,0.0002
40,0.57861328125,8,256,1000,256,0.0002
41,0.490966796875,8,256,1000,256,0.0002
42,0.54052734375,8,256,1000,256,0.0002
43,0.5693359375,8,256,1000,256,0.0002
44,0.5498046875,8,256,1000,256,0.0002
45,0.400390625,8,256,1000,256,0.0002
46,0.54345703125,8,256,1000,256,0.0002
47,0.5009765625,8,256,1000,256,0.0002
48,0.469482421875,8,256,1000,256,0.0002
49,0.435546875,8,256,1000,256,0.0002
50,0.50732421875,8,256,1000,256,0.0002
51,0.472412109375,8,256,1000,256,0.0002
52,0.46923828125,8,256,1000,256,0.0002
53,0.509765625,8,256,1000,256,0.0002
54,0.455810546875,8,256,1000,256,0.0002
55,0.59375,8,256,1000,256,0.0002
56,0.48876953125,8,256,1000,256,0.0002
57,0.463623046875,8,256,1000,256,0.0002
58,0.478759765625,8,256,1000,256,0.0002
59,0.45947265625,8,256,1000,256,0.0002
60,0.47998046875,8,256,1000,256,0.0002
61,0.4599609375,8,256,1000,256,0.0002
62,0.55419921875,8,256,1000,256,0.0002
63,0.4404296875,8,256,1000,256,0.0002
64,0.46044921875,8,256,1000,256,0.0002
65,0.52490234375,8,256,1000,256,0.0002
66,0.54052734375,8,256,1000,256,0.0002
67,0.42919921875,8,256,1000,256,0.0002
68,0.5068359375,8,256,1000,256,0.0002
69,0.60888671875,8,256,1000,256,0.0002
70,0.455078125,8,256,1000,256,0.0002
71,0.5498046875,8,256,1000,256,0.0002
72,0.437744140625,8,256,1000,256,0.0002
73,0.46630859375,8,256,1000,256,0.0002
74,0.43798828125,8,256,1000,256,0.0002
75,0.54052734375,8,256,1000,256,0.0002
76,0.44970703125,8,256,1000,256,0.0002
77,0.469482421875,8,256,1000,256,0.0002
78,0.47021484375,8,256,1000,256,0.0002
79,0.465087890625,8,256,1000,256,0.0002
80,0.414794921875,8,256,1000,256,0.0002
81,0.383056640625,8,256,1000,256,0.0002
82,0.430419921875,8,256,1000,256,0.0002
83,0.52392578125,8,256,1000,256,0.0002
84,0.459228515625,8,256,1000,256,0.0002
85,0.462646484375,8,256,1000,256,0.0002
86,0.4677734375,8,256,1000,256,0.0002
87,0.460693359375,8,256,1000,256,0.0002
88,0.443603515625,8,256,1000,256,0.0002
89,0.45458984375,8,256,1000,256,0.0002
90,0.4609375,8,256,1000,256,0.0002
91,0.393798828125,8,256,1000,256,0.0002
92,0.494873046875,8,256,1000,256,0.0002
93,0.515625,8,256,1000,256,0.0002
94,0.4697265625,8,256,1000,256,0.0002
95,0.46533203125,8,256,1000,256,0.0002
96,0.4365234375,8,256,1000,256,0.0002
97,0.437255859375,8,256,1000,256,0.0002
98,0.465087890625,8,256,1000,256,0.0002
99,0.4833984375,8,256,1000,256,0.0002
100,0.50732421875,8,256,1000,256,0.0002
101,0.417724609375,8,256,1000,256,0.0002
102,0.48583984375,8,256,1000,256,0.0002
103,0.4814453125,8,256,1000,256,0.0002
104,0.484619140625,8,256,1000,256,0.0002
105,0.481689453125,8,256,1000,256,0.0002
106,0.395263671875,8,256,1000,256,0.0002
107,0.468994140625,8,256,1000,256,0.0002
108,0.52099609375,8,256,1000,256,0.0002
109,0.444580078125,8,256,1000,256,0.0002
110,0.384765625,8,256,1000,256,0.0002
111,0.43994140625,8,256,1000,256,0.0002
112,0.43115234375,8,256,1000,256,0.0002
113,0.43115234375,8,256,1000,256,0.0002
114,0.40576171875,8,256,1000,256,0.0002
115,0.346923828125,8,256,1000,256,0.0002
116,0.488037109375,8,256,1000,256,0.0002
117,0.490478515625,8,256,1000,256,0.0002
118,0.4169921875,8,256,1000,256,0.0002
119,0.34326171875,8,256,1000,256,0.0002
120,0.41650390625,8,256,1000,256,0.0002
121,0.433349609375,8,256,1000,256,0.0002
122,0.466064453125,8,256,1000,256,0.0002
123,0.482177734375,8,256,1000,256,0.0002
124,0.376708984375,8,256,1000,256,0.0002
125,0.55419921875,8,256,1000,256,0.0002
126,0.4853515625,8,256,1000,256,0.0002
127,0.424072265625,8,256,1000,256,0.0002
128,0.42236328125,8,256,1000,256,0.0002
129,0.478515625,8,256,1000,256,0.0002
130,0.5244140625,8,256,1000,256,0.0002
131,0.431396484375,8,256,1000,256,0.0002
132,0.439208984375,8,256,1000,256,0.0002
133,0.393310546875,8,256,1000,256,0.0002
134,0.429443359375,8,256,1000,256,0.0002
135,0.383544921875,8,256,1000,256,0.0002
136,0.54931640625,8,256,1000,256,0.0002
137,0.498046875,8,256,1000,256,0.0002
138,0.5009765625,8,256,1000,256,0.0002
139,0.53466796875,8,256,1000,256,0.0002
140,0.4443359375,8,256,1000,256,0.0002
141,0.51611328125,8,256,1000,256,0.0002
142,0.432861328125,8,256,1000,256,0.0002
143,0.4892578125,8,256,1000,256,0.0002
