epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,0.9853515625,8,256,1000,256,0.0002
2,1.0166015625,8,256,1000,256,0.0002
3,0.93701171875,8,256,1000,256,0.0002
4,0.9052734375,8,256,1000,256,0.0002
5,0.79296875,8,256,1000,256,0.0002
6,0.85107421875,8,256,1000,256,0.0002
7,0.80615234375,8,256,1000,256,0.0002
8,0.76318359375,8,256,1000,256,0.0002
9,0.78466796875,8,256,1000,256,0.0002
10,0.810546875,8,256,1000,256,0.0002
11,0.79150390625,8,256,1000,256,0.0002
12,0.6748046875,8,256,1000,256,0.0002
13,0.64697265625,8,256,1000,256,0.0002
14,0.61767578125,8,256,1000,256,0.0002
15,0.646484375,8,256,1000,256,0.0002
16,0.677734375,8,256,1000,256,0.0002
17,0.6767578125,8,256,1000,256,0.0002
18,0.6181640625,8,256,1000,256,0.0002
19,0.646484375,8,256,1000,256,0.0002
20,0.650390625,8,256,1000,256,0.0002
21,0.56884765625,8,256,1000,256,0.0002
22,0.5732421875,8,256,1000,256,0.0002
23,0.62109375,8,256,1000,256,0.0002
24,0.576171875,8,256,1000,256,0.0002
25,0.583984375,8,256,1000,256,0.0002
26,0.60546875,8,256,1000,256,0.0002
27,0.62939453125,8,256,1000,256,0.0002
28,0.53955078125,8,256,1000,256,0.0002
29,0.57373046875,8,256,1000,256,0.0002
30,0.5810546875,8,256,1000,256,0.0002
31,0.583984375,8,256,1000,256,0.0002
32,0.54150390625,8,256,1000,256,0.0002
33,0.572265625,8,256,1000,256,0.0002
34,0.55419921875,8,256,1000,256,0.0002
35,0.54638671875,8,256,1000,256,0.0002
36,0.51416015625,8,256,1000,256,0.0002
37,0.54296875,8,256,1000,256,0.0002
38,0.53759765625,8,256,1000,256,0.0002
39,0.56591796875,8,256,1000,256,0.0002
40,0.58447265625,8,256,1000,256,0.0002
41,0.455322265625,8,256,1000,256,0.0002
42,0.5576171875,8,256,1000,256,0.0002
43,0.56640625,8,256,1000,256,0.0002
44,0.50830078125,8,256,1000,256,0.0002
45,0.4033203125,8,256,1000,256,0.0002
46,0.51171875,8,256,1000,256,0.0002
47,0.51318359375,8,256,1000,256,0.0002
48,0.492919921875,8,256,1000,256,0.0002
49,0.385986328125,8,256,1000,256,0.0002
50,0.47265625,8,256,1000,256,0.0002
51,0.51220703125,8,256,1000,256,0.0002
52,0.496337890625,8,256,1000,256,0.0002
53,0.486572265625,8,256,1000,256,0.0002
54,0.476318359375,8,256,1000,256,0.0002
55,0.5537109375,8,256,1000,256,0.0002
56,0.468017578125,8,256,1000,256,0.0002
57,0.439453125,8,256,1000,256,0.0002
58,0.5361328125,8,256,1000,256,0.0002
59,0.435546875,8,256,1000,256,0.0002
60,0.455078125,8,256,1000,256,0.0002
61,0.482666015625,8,256,1000,256,0.0002
62,0.56103515625,8,256,1000,256,0.0002
63,0.431884765625,8,256,1000,256,0.0002
64,0.476318359375,8,256,1000,256,0.0002
65,0.48974609375,8,256,1000,256,0.0002
66,0.5224609375,8,256,1000,256,0.0002
67,0.414306640625,8,256,1000,256,0.0002
68,0.54736328125,8,256,1000,256,0.0002
69,0.5537109375,8,256,1000,256,0.0002
70,0.50927734375,8,256,1000,256,0.0002
71,0.4833984375,8,256,1000,256,0.0002
72,0.414306640625,8,256,1000,256,0.0002
73,0.463623046875,8,256,1000,256,0.0002
74,0.4775390625,8,256,1000,256,0.0002
75,0.485107421875,8,256,1000,256,0.0002
76,0.488037109375,8,256,1000,256,0.0002
77,0.53515625,8,256,1000,256,0.0002
78,0.415771484375,8,256,1000,256,0.0002
79,0.48583984375,8,256,1000,256,0.0002
80,0.3701171875,8,256,1000,256,0.0002
81,0.3896484375,8,256,1000,256,0.0002
82,0.444580078125,8,256,1000,256,0.0002
83,0.52099609375,8,256,1000,256,0.0002
84,0.438720703125,8,256,1000,256,0.0002
85,0.443359375,8,256,1000,256,0.0002
86,0.477294921875,8,256,1000,256,0.0002
87,0.474365234375,8,256,1000,256,0.0002
88,0.468017578125,8,256,1000,256,0.0002
89,0.423828125,8,256,1000,256,0.0002
90,0.484130859375,8,256,1000,256,0.0002
91,0.37744140625,8,256,1000,256,0.0002
92,0.51171875,8,256,1000,256,0.0002
93,0.57958984375,8,256,1000,256,0.0002
94,0.529296875,8,256,1000,256,0.0002
95,0.43701171875,8,256,1000,256,0.0002
96,0.45556640625,8,256,1000,256,0.0002
97,0.38623046875,8,256,1000,256,0.0002
98,0.5244140625,8,256,1000,256,0.0002
99,0.5048828125,8,256,1000,256,0.0002
100,0.4921875,8,256,1000,256,0.0002
101,0.38427734375,8,256,1000,256,0.0002
102,0.437744140625,8,256,1000,256,0.0002
103,0.50439453125,8,256,1000,256,0.0002
104,0.491455078125,8,256,1000,256,0.0002
105,0.50341796875,8,256,1000,256,0.0002
106,0.3681640625,8,256,1000,256,0.0002
107,0.462646484375,8,256,1000,256,0.0002
108,0.53173828125,8,256,1000,256,0.0002
109,0.485595703125,8,256,1000,256,0.0002
110,0.364990234375,8,256,1000,256,0.0002
111,0.4365234375,8,256,1000,256,0.0002
112,0.450439453125,8,256,1000,256,0.0002
113,0.406982421875,8,256,1000,256,0.0002
114,0.4482421875,8,256,1000,256,0.0002
115,0.310791015625,8,256,1000,256,0.0002
116,0.46923828125,8,256,1000,256,0.0002
117,0.483642578125,8,256,1000,256,0.0002
118,0.39208984375,8,256,1000,256,0.0002
119,0.3828125,8,256,1000,256,0.0002
120,0.367919921875,8,256,1000,256,0.0002
121,0.380859375,8,256,1000,256,0.0002
122,0.4013671875,8,256,1000,256,0.0002
123,0.50732421875,8,256,1000,256,0.0002
124,0.446044921875,8,256,1000,256,0.0002
125,0.52978515625,8,256,1000,256,0.0002
126,0.49658203125,8,256,1000,256,0.0002
127,0.42919921875,8,256,1000,256,0.0002
128,0.46435546875,8,256,1000,256,0.0002
129,0.51904296875,8,256,1000,256,0.0002
130,0.5361328125,8,256,1000,256,0.0002
131,0.44189453125,8,256,1000,256,0.0002
132,0.40869140625,8,256,1000,256,0.0002
133,0.38916015625,8,256,1000,256,0.0002
134,0.3544921875,8,256,1000,256,0.0002
135,0.38525390625,8,256,1000,256,0.0002
136,0.47607421875,8,256,1000,256,0.0002
137,0.50390625,8,256,1000,256,0.0002
138,0.459716796875,8,256,1000,256,0.0002
139,0.51318359375,8,256,1000,256,0.0002
140,0.42236328125,8,256,1000,256,0.0002
141,0.5078125,8,256,1000,256,0.0002
