epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,1.0634765625,8,256,1000,256,0.0002
2,1.0791015625,8,256,1000,256,0.0002
3,0.99462890625,8,256,1000,256,0.0002
4,0.94921875,8,256,1000,256,0.0002
5,0.8662109375,8,256,1000,256,0.0002
6,0.87939453125,8,256,1000,256,0.0002
7,0.84033203125,8,256,1000,256,0.0002
8,0.78564453125,8,256,1000,256,0.0002
9,0.810546875,8,256,1000,256,0.0002
10,0.81591796875,8,256,1000,256,0.0002
11,0.791015625,8,256,1000,256,0.0002
12,0.6953125,8,256,1000,256,0.0002
13,0.67919921875,8,256,1000,256,0.0002
14,0.666015625,8,256,1000,256,0.0002
15,0.697265625,8,256,1000,256,0.0002
16,0.71337890625,8,256,1000,256,0.0002
17,0.69287109375,8,256,1000,256,0.0002
18,0.6630859375,8,256,1000,256,0.0002
19,0.6689453125,8,256,1000,256,0.0002
20,0.662109375,8,256,1000,256,0.0002
