epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,1.193359375,8,256,1000,256,0.0002
2,1.173828125,8,256,1000,256,0.0002
3,1.1171875,8,256,1000,256,0.0002
4,1.0693359375,8,256,1000,256,0.0002
5,0.98583984375,8,256,1000,256,0.0002
6,0.974609375,8,256,1000,256,0.0002
7,0.9384765625,8,256,1000,256,0.0002
8,0.87939453125,8,256,1000,256,0.0002
9,0.8916015625,8,256,1000,256,0.0002
10,0.90673828125,8,256,1000,256,0.0002
11,0.876953125,8,256,1000,256,0.0002
12,0.765625,8,256,1000,256,0.0002
13,0.7919921875,8,256,1000,256,0.0002
14,0.779296875,8,256,1000,256,0.0002
15,0.79345703125,8,256,1000,256,0.0002
16,0.78515625,8,256,1000,256,0.0002
17,0.78076171875,8,256,1000,256,0.0002
18,0.765625,8,256,1000,256,0.0002
19,0.73681640625,8,256,1000,256,0.0002
20,0.736328125,8,256,1000,256,0.0002
