epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,1.02734375,8,256,1000,256,0.0002
2,1.046875,8,256,1000,256,0.0002
3,0.98779296875,8,256,1000,256,0.0002
4,0.94921875,8,256,1000,256,0.0002
5,0.85205078125,8,256,1000,256,0.0002
6,0.8828125,8,256,1000,256,0.0002
7,0.8427734375,8,256,1000,256,0.0002
8,0.78125,8,256,1000,256,0.0002
9,0.79541015625,8,256,1000,256,0.0002
10,0.80859375,8,256,1000,256,0.0002
11,0.78564453125,8,256,1000,256,0.0002
12,0.68359375,8,256,1000,256,0.0002
13,0.6787109375,8,256,1000,256,0.0002
14,0.63916015625,8,256,1000,256,0.0002
15,0.6875,8,256,1000,256,0.0002
16,0.69384765625,8,256,1000,256,0.0002
17,0.681640625,8,256,1000,256,0.0002
18,0.64404296875,8,256,1000,256,0.0002
19,0.66259765625,8,256,1000,256,0.0002
20,0.66845703125,8,256,1000,256,0.0002
21,0.52392578125,8,256,1000,256,0.0002
22,0.63232421875,8,256,1000,256,0.0002
23,0.619140625,8,256,1000,256,0.0002
24,0.62353515625,8,256,1000,256,0.0002
25,0.59716796875,8,256,1000,256,0.0002
26,0.66259765625,8,256,1000,256,0.0002
27,0.64208984375,8,256,1000,256,0.0002
28,0.54248046875,8,256,1000,256,0.0002
29,0.6083984375,8,256,1000,256,0.0002
30,0.58251953125,8,256,1000,256,0.0002
31,0.61279296875,8,256,1000,256,0.0002
32,0.5810546875,8,256,1000,256,0.0002
33,0.57666015625,8,256,1000,256,0.0002
34,0.560546875,8,256,1000,256,0.0002
35,0.53466796875,8,256,1000,256,0.0002
36,0.52978515625,8,256,1000,256,0.0002
37,0.52880859375,8,256,1000,256,0.0002
38,0.5068359375,8,256,1000,256,0.0002
39,0.5673828125,8,256,1000,256,0.0002
40,0.57861328125,8,256,1000,256,0.0002
41,0.46630859375,8,256,1000,256,0.0002
42,0.52392578125,8,256,1000,256,0.0002
43,0.54443359375,8,256,1000,256,0.0002
44,0.55322265625,8,256,1000,256,0.0002
45,0.386962890625,8,256,1000,256,0.0002
46,0.541015625,8,256,1000,256,0.0002
47,0.479248046875,8,256,1000,256,0.0002
48,0.457763671875,8,256,1000,256,0.0002
49,0.429443359375,8,256,1000,256,0.0002
50,0.471923828125,8,256,1000,256,0.0002
51,0.44189453125,8,256,1000,256,0.0002
52,0.45166015625,8,256,1000,256,0.0002
53,0.477294921875,8,256,1000,256,0.0002
54,0.433837890625,8,256,1000,256,0.0002
55,0.56494140625,8,256,1000,256,0.0002
56,0.474609375,8,256,1000,256,0.0002
57,0.468505859375,8,256,1000,256,0.0002
58,0.454833984375,8,256,1000,256,0.0002
59,0.437255859375,8,256,1000,256,0.0002
60,0.480712890625,8,256,1000,256,0.0002
61,0.448486328125,8,256,1000,256,0.0002
62,0.54150390625,8,256,1000,256,0.0002
63,0.4228515625,8,256,1000,256,0.0002
64,0.445068359375,8,256,1000,256,0.0002
65,0.51318359375,8,256,1000,256,0.0002
