epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,0.07733154296875,64,256,1000,256,0.0001
2,0.052642822265625,64,256,1000,256,0.0001
3,0.039306640625,64,256,1000,256,0.0001
4,0.038604736328125,64,256,1000,256,0.0001
5,0.032562255859375,64,256,1000,256,0.0001
6,0.033172607421875,64,256,1000,256,0.0001
7,0.0404052734375,64,256,1000,256,0.0001
8,0.048797607421875,64,256,1000,256,0.0001
9,0.04150390625,64,256,1000,256,0.0001
10,0.0303802490234375,64,256,1000,256,0.0001
11,0.03350830078125,64,256,1000,256,0.0001
12,0.041229248046875,64,256,1000,256,0.0001
13,0.0340576171875,64,256,1000,256,0.0001
14,0.0362548828125,64,256,1000,256,0.0001
15,0.031402587890625,64,256,1000,256,0.0001
16,0.036834716796875,64,256,1000,256,0.0001
17,0.0182952880859375,64,256,1000,256,0.0001
18,0.044586181640625,64,256,1000,256,0.0001
19,0.029541015625,64,256,1000,256,0.0001
20,0.0198822021484375,64,256,1000,256,0.0001
21,0.0210723876953125,64,256,1000,256,0.0001
22,0.0186004638671875,64,256,1000,256,0.0001
23,0.0241241455078125,64,256,1000,256,0.0001
24,0.01824951171875,64,256,1000,256,0.0001
25,0.015289306640625,64,256,1000,256,0.0001
26,0.0197296142578125,64,256,1000,256,0.0001
27,0.02447509765625,64,256,1000,256,0.0001
28,0.0211181640625,64,256,1000,256,0.0001
29,0.0103530883789062,64,256,1000,256,0.0001
30,0.0220794677734375,64,256,1000,256,0.0001
31,0.022857666015625,64,256,1000,256,0.0001
32,0.02557373046875,64,256,1000,256,0.0001
33,0.0160064697265625,64,256,1000,256,0.0001
34,0.02020263671875,64,256,1000,256,0.0001
35,0.0141372680664062,64,256,1000,256,0.0001
36,0.0181732177734375,64,256,1000,256,0.0001
37,0.020965576171875,64,256,1000,256,0.0001
38,0.0193939208984375,64,256,1000,256,0.0001
39,0.01617431640625,64,256,1000,256,0.0001
40,0.02862548828125,64,256,1000,256,0.0001
41,0.0272674560546875,64,256,1000,256,0.0001
42,0.037506103515625,64,256,1000,256,0.0001
43,0.019012451171875,64,256,1000,256,0.0001
44,0.0184173583984375,64,256,1000,256,0.0001
45,0.0364990234375,64,256,1000,256,0.0001
46,0.0369873046875,64,256,1000,256,0.0001
