epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,1.166015625,8,256,1000,256,0.0002
2,1.1513671875,8,256,1000,256,0.0002
3,1.0859375,8,256,1000,256,0.0002
4,1.033203125,8,256,1000,256,0.0002
5,0.947265625,8,256,1000,256,0.0002
6,0.92138671875,8,256,1000,256,0.0002
7,0.91015625,8,256,1000,256,0.0002
8,0.84130859375,8,256,1000,256,0.0002
9,0.8603515625,8,256,1000,256,0.0002
10,0.90380859375,8,256,1000,256,0.0002
11,0.8349609375,8,256,1000,256,0.0002
12,0.7216796875,8,256,1000,256,0.0002
13,0.7431640625,8,256,1000,256,0.0002
14,0.71533203125,8,256,1000,256,0.0002
15,0.7255859375,8,256,1000,256,0.0002
16,0.72119140625,8,256,1000,256,0.0002
17,0.70947265625,8,256,1000,256,0.0002
18,0.6953125,8,256,1000,256,0.0002
19,0.6630859375,8,256,1000,256,0.0002
20,0.6875,8,256,1000,256,0.0002
21,0.5888671875,8,256,1000,256,0.0002
22,0.62060546875,8,256,1000,256,0.0002
23,0.61181640625,8,256,1000,256,0.0002
24,0.6181640625,8,256,1000,256,0.0002
25,0.61181640625,8,256,1000,256,0.0002
26,0.6455078125,8,256,1000,256,0.0002
27,0.6298828125,8,256,1000,256,0.0002
28,0.5546875,8,256,1000,256,0.0002
29,0.60302734375,8,256,1000,256,0.0002
30,0.6064453125,8,256,1000,256,0.0002
31,0.60888671875,8,256,1000,256,0.0002
32,0.55078125,8,256,1000,256,0.0002
33,0.587890625,8,256,1000,256,0.0002
34,0.57470703125,8,256,1000,256,0.0002
35,0.578125,8,256,1000,256,0.0002
36,0.5517578125,8,256,1000,256,0.0002
37,0.5732421875,8,256,1000,256,0.0002
38,0.55029296875,8,256,1000,256,0.0002
39,0.58056640625,8,256,1000,256,0.0002
40,0.59375,8,256,1000,256,0.0002
41,0.49072265625,8,256,1000,256,0.0002
42,0.552734375,8,256,1000,256,0.0002
43,0.55517578125,8,256,1000,256,0.0002
44,0.5185546875,8,256,1000,256,0.0002
45,0.40576171875,8,256,1000,256,0.0002
46,0.52587890625,8,256,1000,256,0.0002
47,0.50732421875,8,256,1000,256,0.0002
48,0.480224609375,8,256,1000,256,0.0002
49,0.398681640625,8,256,1000,256,0.0002
50,0.47705078125,8,256,1000,256,0.0002
51,0.47314453125,8,256,1000,256,0.0002
52,0.48828125,8,256,1000,256,0.0002
53,0.496826171875,8,256,1000,256,0.0002
54,0.46533203125,8,256,1000,256,0.0002
55,0.58837890625,8,256,1000,256,0.0002
56,0.4736328125,8,256,1000,256,0.0002
57,0.442626953125,8,256,1000,256,0.0002
58,0.55419921875,8,256,1000,256,0.0002
59,0.44580078125,8,256,1000,256,0.0002
60,0.46484375,8,256,1000,256,0.0002
61,0.480224609375,8,256,1000,256,0.0002
62,0.5556640625,8,256,1000,256,0.0002
63,0.442138671875,8,256,1000,256,0.0002
64,0.466552734375,8,256,1000,256,0.0002
65,0.50830078125,8,256,1000,256,0.0002
66,0.51416015625,8,256,1000,256,0.0002
67,0.422119140625,8,256,1000,256,0.0002
68,0.5361328125,8,256,1000,256,0.0002
69,0.5498046875,8,256,1000,256,0.0002
70,0.48681640625,8,256,1000,256,0.0002
71,0.4970703125,8,256,1000,256,0.0002
72,0.417236328125,8,256,1000,256,0.0002
73,0.457275390625,8,256,1000,256,0.0002
74,0.453125,8,256,1000,256,0.0002
75,0.5,8,256,1000,256,0.0002
76,0.48486328125,8,256,1000,256,0.0002
77,0.53076171875,8,256,1000,256,0.0002
78,0.4326171875,8,256,1000,256,0.0002
79,0.489990234375,8,256,1000,256,0.0002
80,0.39453125,8,256,1000,256,0.0002
81,0.387939453125,8,256,1000,256,0.0002
82,0.445556640625,8,256,1000,256,0.0002
83,0.5361328125,8,256,1000,256,0.0002
84,0.431884765625,8,256,1000,256,0.0002
85,0.432861328125,8,256,1000,256,0.0002
86,0.473388671875,8,256,1000,256,0.0002
87,0.489501953125,8,256,1000,256,0.0002
88,0.47216796875,8,256,1000,256,0.0002
89,0.43212890625,8,256,1000,256,0.0002
90,0.476318359375,8,256,1000,256,0.0002
91,0.3828125,8,256,1000,256,0.0002
92,0.513671875,8,256,1000,256,0.0002
93,0.5927734375,8,256,1000,256,0.0002
94,0.5205078125,8,256,1000,256,0.0002
95,0.437255859375,8,256,1000,256,0.0002
96,0.46728515625,8,256,1000,256,0.0002
97,0.37646484375,8,256,1000,256,0.0002
98,0.513671875,8,256,1000,256,0.0002
99,0.50537109375,8,256,1000,256,0.0002
100,0.483642578125,8,256,1000,256,0.0002
101,0.395263671875,8,256,1000,256,0.0002
102,0.4384765625,8,256,1000,256,0.0002
103,0.490966796875,8,256,1000,256,0.0002
104,0.496826171875,8,256,1000,256,0.0002
105,0.5126953125,8,256,1000,256,0.0002
106,0.3564453125,8,256,1000,256,0.0002
107,0.472412109375,8,256,1000,256,0.0002
108,0.52294921875,8,256,1000,256,0.0002
109,0.489990234375,8,256,1000,256,0.0002
110,0.3662109375,8,256,1000,256,0.0002
111,0.435546875,8,256,1000,256,0.0002
112,0.4599609375,8,256,1000,256,0.0002
113,0.411865234375,8,256,1000,256,0.0002
114,0.44580078125,8,256,1000,256,0.0002
115,0.319580078125,8,256,1000,256,0.0002
116,0.46240234375,8,256,1000,256,0.0002
117,0.49658203125,8,256,1000,256,0.0002
118,0.41162109375,8,256,1000,256,0.0002
119,0.378173828125,8,256,1000,256,0.0002
120,0.371337890625,8,256,1000,256,0.0002
121,0.383056640625,8,256,1000,256,0.0002
122,0.413330078125,8,256,1000,256,0.0002
123,0.51513671875,8,256,1000,256,0.0002
124,0.4482421875,8,256,1000,256,0.0002
125,0.53564453125,8,256,1000,256,0.0002
126,0.51171875,8,256,1000,256,0.0002
127,0.4306640625,8,256,1000,256,0.0002
128,0.47509765625,8,256,1000,256,0.0002
129,0.51416015625,8,256,1000,256,0.0002
130,0.5361328125,8,256,1000,256,0.0002
131,0.443359375,8,256,1000,256,0.0002
132,0.42333984375,8,256,1000,256,0.0002
133,0.38623046875,8,256,1000,256,0.0002
134,0.373046875,8,256,1000,256,0.0002
135,0.386474609375,8,256,1000,256,0.0002
136,0.498291015625,8,256,1000,256,0.0002
137,0.51416015625,8,256,1000,256,0.0002
138,0.4619140625,8,256,1000,256,0.0002
139,0.51025390625,8,256,1000,256,0.0002
140,0.437744140625,8,256,1000,256,0.0002
141,0.517578125,8,256,1000,256,0.0002
142,0.4384765625,8,256,1000,256,0.0002
143,0.415283203125,8,256,1000,256,0.0002
144,0.36376953125,8,256,1000,256,0.0002
145,0.466064453125,8,256,1000,256,0.0002
146,0.479736328125,8,256,1000,256,0.0002
147,0.46435546875,8,256,1000,256,0.0002
148,0.46728515625,8,256,1000,256,0.0002
149,0.44091796875,8,256,1000,256,0.0002
150,0.410400390625,8,256,1000,256,0.0002
151,0.43017578125,8,256,1000,256,0.0002
152,0.5712890625,8,256,1000,256,0.0002
153,0.452880859375,8,256,1000,256,0.0002
154,0.437744140625,8,256,1000,256,0.0002
155,0.403076171875,8,256,1000,256,0.0002
156,0.4150390625,8,256,1000,256,0.0002
157,0.537109375,8,256,1000,256,0.0002
158,0.4873046875,8,256,1000,256,0.0002
159,0.3896484375,8,256,1000,256,0.0002
160,0.51513671875,8,256,1000,256,0.0002
161,0.447509765625,8,256,1000,256,0.0002
162,0.419921875,8,256,1000,256,0.0002
163,0.5771484375,8,256,1000,256,0.0002
164,0.416015625,8,256,1000,256,0.0002
165,0.411865234375,8,256,1000,256,0.0002
166,0.39697265625,8,256,1000,256,0.0002
167,0.515625,8,256,1000,256,0.0002
168,0.35986328125,8,256,1000,256,0.0002
169,0.37890625,8,256,1000,256,0.0002
170,0.4912109375,8,256,1000,256,0.0002
171,0.50048828125,8,256,1000,256,0.0002
172,0.48974609375,8,256,1000,256,0.0002
173,0.42529296875,8,256,1000,256,0.0002
174,0.41259765625,8,256,1000,256,0.0002
175,0.3583984375,8,256,1000,256,0.0002
176,0.403564453125,8,256,1000,256,0.0002
177,0.409423828125,8,256,1000,256,0.0002
178,0.445068359375,8,256,1000,256,0.0002
179,0.52294921875,8,256,1000,256,0.0002
180,0.436767578125,8,256,1000,256,0.0002
181,0.393310546875,8,256,1000,256,0.0002
182,0.4443359375,8,256,1000,256,0.0002
183,0.4677734375,8,256,1000,256,0.0002
184,0.462646484375,8,256,1000,256,0.0002
185,0.4619140625,8,256,1000,256,0.0002
186,0.53759765625,8,256,1000,256,0.0002
187,0.385498046875,8,256,1000,256,0.0002
188,0.432373046875,8,256,1000,256,0.0002
189,0.436279296875,8,256,1000,256,0.0002
190,0.37109375,8,256,1000,256,0.0002
191,0.452392578125,8,256,1000,256,0.0002
192,0.456787109375,8,256,1000,256,0.0002
193,0.407958984375,8,256,1000,256,0.0002
194,0.47900390625,8,256,1000,256,0.0002
195,0.4765625,8,256,1000,256,0.0002
196,0.35888671875,8,256,1000,256,0.0002
197,0.3623046875,8,256,1000,256,0.0002
198,0.41015625,8,256,1000,256,0.0002
199,0.45458984375,8,256,1000,256,0.0002
200,0.513671875,8,256,1000,256,0.0002
201,0.4013671875,8,256,1000,256,0.0002
202,0.48828125,8,256,1000,256,0.0002
203,0.348876953125,8,256,1000,256,0.0002
204,0.421875,8,256,1000,256,0.0002
205,0.367919921875,8,256,1000,256,0.0002
206,0.5244140625,8,256,1000,256,0.0002
207,0.462890625,8,256,1000,256,0.0002
208,0.385498046875,8,256,1000,256,0.0002
209,0.418701171875,8,256,1000,256,0.0002
210,0.453369140625,8,256,1000,256,0.0002
211,0.418701171875,8,256,1000,256,0.0002
212,0.4345703125,8,256,1000,256,0.0002
213,0.428955078125,8,256,1000,256,0.0002
214,0.415771484375,8,256,1000,256,0.0002
215,0.465087890625,8,256,1000,256,0.0002
