epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,0.0958251953125,64,256,1000,256,2e-05
2,0.0689697265625,64,256,1000,256,2e-05
3,0.04278564453125,64,256,1000,256,2e-05
4,0.03594970703125,64,256,1000,256,2e-05
5,0.026641845703125,64,256,1000,256,2e-05
6,0.024627685546875,64,256,1000,256,2e-05
7,0.0249176025390625,64,256,1000,256,2e-05
8,0.0207672119140625,64,256,1000,256,2e-05
9,0.0216064453125,64,256,1000,256,2e-05
10,0.024078369140625,64,256,1000,256,2e-05
11,0.021209716796875,64,256,1000,256,2e-05
12,0.0147171020507812,64,256,1000,256,2e-05
13,0.0204925537109375,64,256,1000,256,2e-05
14,0.012542724609375,64,256,1000,256,2e-05
15,0.0122833251953125,64,256,1000,256,2e-05
16,0.0146331787109375,64,256,1000,256,2e-05
17,0.0123519897460937,64,256,1000,256,2e-05
18,0.012359619140625,64,256,1000,256,2e-05
19,0.0135040283203125,64,256,1000,256,2e-05
20,0.0117721557617187,64,256,1000,256,2e-05
21,0.01373291015625,64,256,1000,256,2e-05
22,0.0107803344726562,64,256,1000,256,2e-05
23,0.0114288330078125,64,256,1000,256,2e-05
24,0.0134201049804687,64,256,1000,256,2e-05
25,0.0101699829101562,64,256,1000,256,2e-05
26,0.010101318359375,64,256,1000,256,2e-05
27,0.0117568969726562,64,256,1000,256,2e-05
28,0.010162353515625,64,256,1000,256,2e-05
29,0.0087432861328125,64,256,1000,256,2e-05
30,0.0094146728515625,64,256,1000,256,2e-05
31,0.0095596313476562,64,256,1000,256,2e-05
32,0.0098495483398437,64,256,1000,256,2e-05
33,0.0087966918945312,64,256,1000,256,2e-05
34,0.0112228393554687,64,256,1000,256,2e-05
35,0.010772705078125,64,256,1000,256,2e-05
36,0.0099411010742187,64,256,1000,256,2e-05
37,0.0075492858886718,64,256,1000,256,2e-05
38,0.009185791015625,64,256,1000,256,2e-05
39,0.010284423828125,64,256,1000,256,2e-05
40,0.0103225708007812,64,256,1000,256,2e-05
41,0.0080947875976562,64,256,1000,256,2e-05
42,0.0077667236328125,64,256,1000,256,2e-05
43,0.0081329345703125,64,256,1000,256,2e-05
44,0.0077133178710937,64,256,1000,256,2e-05
45,0.0092086791992187,64,256,1000,256,2e-05
46,0.009765625,64,256,1000,256,2e-05
47,0.0076026916503906,64,256,1000,256,2e-05
48,0.0077476501464843,64,256,1000,256,2e-05
49,0.0072021484375,64,256,1000,256,2e-05
50,0.008880615234375,64,256,1000,256,2e-05
51,0.0081558227539062,64,256,1000,256,2e-05
52,0.0080108642578125,64,256,1000,256,2e-05
53,0.007843017578125,64,256,1000,256,2e-05
54,0.0072746276855468,64,256,1000,256,2e-05
55,0.0110931396484375,64,256,1000,256,2e-05
56,0.0083694458007812,64,256,1000,256,2e-05
57,0.00762939453125,64,256,1000,256,2e-05
58,0.0084381103515625,64,256,1000,256,2e-05
59,0.0068778991699218,64,256,1000,256,2e-05
60,0.00927734375,64,256,1000,256,2e-05
61,0.0077247619628906,64,256,1000,256,2e-05
62,0.0059394836425781,64,256,1000,256,2e-05
63,0.00830078125,64,256,1000,256,2e-05
64,0.0054244995117187,64,256,1000,256,2e-05
65,0.0056228637695312,64,256,1000,256,2e-05
66,0.0076637268066406,64,256,1000,256,2e-05
67,0.0068283081054687,64,256,1000,256,2e-05
68,0.0063400268554687,64,256,1000,256,2e-05
69,0.0056266784667968,64,256,1000,256,2e-05
70,0.0070343017578125,64,256,1000,256,2e-05
71,0.0084609985351562,64,256,1000,256,2e-05
72,0.0072746276855468,64,256,1000,256,2e-05
73,0.0065155029296875,64,256,1000,256,2e-05
74,0.0063896179199218,64,256,1000,256,2e-05
75,0.0073127746582031,64,256,1000,256,2e-05
76,0.0077629089355468,64,256,1000,256,2e-05
77,0.0072822570800781,64,256,1000,256,2e-05
78,0.0068817138671875,64,256,1000,256,2e-05
79,0.0063819885253906,64,256,1000,256,2e-05
80,0.0058212280273437,64,256,1000,256,2e-05
81,0.0061454772949218,64,256,1000,256,2e-05
82,0.0077133178710937,64,256,1000,256,2e-05
83,0.0063056945800781,64,256,1000,256,2e-05
84,0.0063858032226562,64,256,1000,256,2e-05
85,0.0058746337890625,64,256,1000,256,2e-05
86,0.0056495666503906,64,256,1000,256,2e-05
87,0.0078964233398437,64,256,1000,256,2e-05
88,0.0066413879394531,64,256,1000,256,2e-05
89,0.006256103515625,64,256,1000,256,2e-05
90,0.0050811767578125,64,256,1000,256,2e-05
91,0.0067787170410156,64,256,1000,256,2e-05
92,0.00634765625,64,256,1000,256,2e-05
93,0.0054740905761718,64,256,1000,256,2e-05
94,0.0052375793457031,64,256,1000,256,2e-05
95,0.0051307678222656,64,256,1000,256,2e-05
96,0.0074272155761718,64,256,1000,256,2e-05
97,0.0056076049804687,64,256,1000,256,2e-05
98,0.0052452087402343,64,256,1000,256,2e-05
99,0.0049858093261718,64,256,1000,256,2e-05
100,0.0045394897460937,64,256,1000,256,2e-05
101,0.0047645568847656,64,256,1000,256,2e-05
102,0.0050811767578125,64,256,1000,256,2e-05
103,0.0048789978027343,64,256,1000,256,2e-05
104,0.0044517517089843,64,256,1000,256,2e-05
105,0.0052528381347656,64,256,1000,256,2e-05
106,0.0045890808105468,64,256,1000,256,2e-05
107,0.0053863525390625,64,256,1000,256,2e-05
108,0.0047073364257812,64,256,1000,256,2e-05
109,0.0043106079101562,64,256,1000,256,2e-05
110,0.0051536560058593,64,256,1000,256,2e-05
111,0.0052642822265625,64,256,1000,256,2e-05
112,0.0063056945800781,64,256,1000,256,2e-05
113,0.0047798156738281,64,256,1000,256,2e-05
114,0.0052299499511718,64,256,1000,256,2e-05
115,0.0050506591796875,64,256,1000,256,2e-05
116,0.0045890808105468,64,256,1000,256,2e-05
117,0.0048599243164062,64,256,1000,256,2e-05
118,0.0046577453613281,64,256,1000,256,2e-05
119,0.0052070617675781,64,256,1000,256,2e-05
120,0.0042877197265625,64,256,1000,256,2e-05
121,0.004150390625,64,256,1000,256,2e-05
122,0.0060920715332031,64,256,1000,256,2e-05
123,0.0047454833984375,64,256,1000,256,2e-05
124,0.0043525695800781,64,256,1000,256,2e-05
125,0.0065803527832031,64,256,1000,256,2e-05
126,0.0044288635253906,64,256,1000,256,2e-05
127,0.0042991638183593,64,256,1000,256,2e-05
128,0.0054969787597656,64,256,1000,256,2e-05
129,0.0046195983886718,64,256,1000,256,2e-05
130,0.0050506591796875,64,256,1000,256,2e-05
131,0.0041122436523437,64,256,1000,256,2e-05
132,0.0039005279541015,64,256,1000,256,2e-05
133,0.0046463012695312,64,256,1000,256,2e-05
134,0.0056114196777343,64,256,1000,256,2e-05
135,0.0046272277832031,64,256,1000,256,2e-05
136,0.0045890808105468,64,256,1000,256,2e-05
137,0.0040283203125,64,256,1000,256,2e-05
138,0.0043411254882812,64,256,1000,256,2e-05
139,0.0043983459472656,64,256,1000,256,2e-05
140,0.0047607421875,64,256,1000,256,2e-05
141,0.0042228698730468,64,256,1000,256,2e-05
142,0.0039787292480468,64,256,1000,256,2e-05
143,0.0037822723388671,64,256,1000,256,2e-05
144,0.0046806335449218,64,256,1000,256,2e-05
145,0.0040359497070312,64,256,1000,256,2e-05
146,0.0036849975585937,64,256,1000,256,2e-05
147,0.0048484802246093,64,256,1000,256,2e-05
148,0.0046730041503906,64,256,1000,256,2e-05
149,0.0038986206054687,64,256,1000,256,2e-05
150,0.0045127868652343,64,256,1000,256,2e-05
151,0.0038013458251953,64,256,1000,256,2e-05
152,0.0046424865722656,64,256,1000,256,2e-05
153,0.0047454833984375,64,256,1000,256,2e-05
154,0.0042762756347656,64,256,1000,256,2e-05
155,0.0035743713378906,64,256,1000,256,2e-05
156,0.0052413940429687,64,256,1000,256,2e-05
157,0.0042915344238281,64,256,1000,256,2e-05
158,0.0044326782226562,64,256,1000,256,2e-05
159,0.004608154296875,64,256,1000,256,2e-05
160,0.0046577453613281,64,256,1000,256,2e-05
161,0.0035629272460937,64,256,1000,256,2e-05
162,0.004486083984375,64,256,1000,256,2e-05
163,0.0044593811035156,64,256,1000,256,2e-05
164,0.0046958923339843,64,256,1000,256,2e-05
165,0.00421142578125,64,256,1000,256,2e-05
166,0.0047950744628906,64,256,1000,256,2e-05
167,0.0036582946777343,64,256,1000,256,2e-05
168,0.0041885375976562,64,256,1000,256,2e-05
169,0.0034198760986328,64,256,1000,256,2e-05
170,0.0039787292480468,64,256,1000,256,2e-05
171,0.003305435180664,64,256,1000,256,2e-05
172,0.0044021606445312,64,256,1000,256,2e-05
173,0.0046272277832031,64,256,1000,256,2e-05
174,0.0039634704589843,64,256,1000,256,2e-05
175,0.0043792724609375,64,256,1000,256,2e-05
176,0.0048599243164062,64,256,1000,256,2e-05
177,0.0046234130859375,64,256,1000,256,2e-05
178,0.0038375854492187,64,256,1000,256,2e-05
179,0.0039939880371093,64,256,1000,256,2e-05
180,0.00341796875,64,256,1000,256,2e-05
181,0.0042800903320312,64,256,1000,256,2e-05
182,0.0042686462402343,64,256,1000,256,2e-05
183,0.0043067932128906,64,256,1000,256,2e-05
184,0.0039176940917968,64,256,1000,256,2e-05
185,0.0038261413574218,64,256,1000,256,2e-05
186,0.0033378601074218,64,256,1000,256,2e-05
187,0.0056877136230468,64,256,1000,256,2e-05
188,0.0039710998535156,64,256,1000,256,2e-05
189,0.0030937194824218,64,256,1000,256,2e-05
190,0.0040435791015625,64,256,1000,256,2e-05
191,0.00408935546875,64,256,1000,256,2e-05
192,0.0030040740966796,64,256,1000,256,2e-05
